Time,Channel B
(ms),(V)

84.99199948,161.74810000
85.03295948,161.74810000
85.07391948,161.74810000
85.11487948,166.29540000
85.15583948,166.29540000
85.19679948,166.29540000
85.23775948,170.85790000
85.27871948,170.85790000
85.31967948,175.40510000
85.36063948,175.40510000
85.40159948,175.40510000
85.44255948,179.95240000
85.48351948,179.95240000
85.52447948,179.95240000
85.56543948,184.51490000
85.60639948,184.51490000
85.64735948,184.51490000
85.68831948,184.51490000
85.72927948,189.06220000
85.77023948,189.06220000
85.81119948,189.06220000
85.85215948,189.06220000
85.89311948,189.06220000
85.93407948,193.62470000
85.97503948,193.62470000
86.01599948,193.62470000
86.05695948,198.17190000
86.09791948,198.17190000
86.13887948,198.17190000
86.17983948,198.17190000
86.22079948,198.17190000
86.26175948,202.71920000
86.30271948,202.71920000
86.34367948,202.71920000
86.38463947,202.71920000
86.42559947,207.28170000
86.46655947,207.28170000
86.50751947,207.28170000
86.54847947,207.28170000
86.58943947,211.82900000
86.63039947,207.28170000
86.67135947,211.82900000
86.71231947,211.82900000
86.75327947,211.82900000
86.79423947,211.82900000
86.83519947,211.82900000
86.87615947,216.37620000
86.91711947,216.37620000
86.95807947,216.37620000
86.99903947,216.37620000
87.03999947,216.37620000
87.08095947,216.37620000
87.12191947,216.37620000
87.16287947,216.37620000
87.20383947,216.37620000
87.24479947,216.37620000
87.28575947,216.37620000
87.32671947,216.37620000
87.36767947,216.37620000
87.40863947,216.37620000
87.44959947,216.37620000
87.49055947,216.37620000
87.53151947,216.37620000
87.57247947,216.37620000
87.61343947,216.37620000
87.65439947,216.37620000
87.69535947,216.37620000
87.73631947,211.82900000
87.77727947,216.37620000
87.81823947,211.82900000
87.85919947,211.82900000
87.90015947,211.82900000
87.94111947,211.82900000
87.98207947,211.82900000
88.02303947,211.82900000
88.06399946,211.82900000
88.10495946,211.82900000
88.14591946,211.82900000
88.18687946,207.28170000
88.22783946,207.28170000
88.26879946,207.28170000
88.30975946,207.28170000
88.35071946,202.71920000
88.39167946,202.71920000
88.43263946,202.71920000
88.47359946,202.71920000
88.51455946,202.71920000
88.55551946,202.71920000
88.59647946,202.71920000
88.63743946,202.71920000
88.67839946,198.17190000
88.71935946,198.17190000
88.76031946,198.17190000
88.80127946,198.17190000
88.84223946,193.62470000
88.88319946,193.62470000
88.92415946,193.62470000
88.96511946,189.06220000
89.00607946,189.06220000
89.04703946,184.51490000
89.08799946,184.51490000
89.12895946,184.51490000
89.16991946,179.95240000
89.21087946,179.95240000
89.25183946,179.95240000
89.29279946,175.40510000
89.33375946,175.40510000
89.37471946,175.40510000
89.41567946,170.85790000
89.45663946,166.29540000
89.49759946,166.29540000
89.53855946,166.29540000
89.57951946,161.74810000
89.62047946,161.74810000
89.66143946,161.74810000
89.70239945,157.20080000
89.74335945,157.20080000
89.78431945,152.63830000
89.82527945,152.63830000
89.86623945,148.09110000
89.90719945,148.09110000
89.94815945,143.54380000
89.98911945,143.54380000
90.03007945,138.98130000
90.07103945,138.98130000
90.11199945,134.43400000
90.15295945,134.43400000
90.19391945,134.43400000
90.23487945,129.87150000
90.27583945,129.87150000
90.31679945,125.32430000
90.35775945,120.77700000
90.39871945,120.77700000
90.43967945,116.21450000
90.48063945,116.21450000
90.52159945,111.66720000
90.56255945,107.12000000
90.60351945,107.12000000
90.64447945,107.12000000
90.68543945,102.55750000
90.72639945,98.01019000
90.76735945,98.01019000
90.80831945,93.46294000
90.84927945,88.90041000
90.89023945,88.90041000
90.93119945,88.90041000
90.97215945,84.35316000
91.01311945,84.35316000
91.05407945,79.80591000
91.09503945,75.24339000
91.13599945,75.24339000
91.17695945,70.69613000
91.21791945,70.69613000
91.25887945,66.13361000
91.29983945,66.13361000
91.34079944,61.58635000
91.38175944,61.58635000
91.42271944,57.03909000
91.46367944,52.47658000
91.50463944,52.47658000
91.54559944,47.92932000
91.58655944,47.92932000
91.62751944,43.38206000
91.66847944,43.38206000
91.70943944,38.81955000
91.75039944,38.81955000
91.79135944,34.27229000
91.83231944,34.27229000
91.87327944,34.27229000
91.91423944,29.72503000
91.95519944,25.16251000
91.99615944,20.61525000
92.03711944,20.61525000
92.07807944,16.06800000
92.11903944,16.06800000
92.15999944,11.52074000
92.20095944,11.52074000
92.24191944,11.52074000
92.28287944,6.97348000
92.32383944,2.41096200
92.36479944,2.41096200
92.40575944,-2.13629600
92.44671944,-6.68355400
92.48767944,-6.68355400
92.52863944,-6.68355400
92.56959944,-6.68355400
92.61055944,-6.68355400
92.65151944,-6.68355400
92.69247944,-6.68355400
92.73343944,-6.68355400
92.77439944,-6.68355400
92.81535944,-11.24607000
92.85631944,-6.68355400
92.89727944,-29.45036000
92.93823944,-33.99762000
92.97919943,-38.56014000
93.02015943,-43.10740000
93.06111943,-43.10740000
93.10207943,-47.66991000
93.14303943,-52.21717000
93.18399943,-56.76443000
93.22495943,-56.76443000
93.26591943,-61.32695000
93.30687943,-65.87420000
93.34783943,-65.87420000
93.38879943,-70.42146000
93.42975943,-70.42146000
93.47071943,-74.98398000
93.51167943,-79.53123000
93.55263943,-79.53123000
93.59359943,-84.07849000
93.63455943,-84.07849000
93.67551943,-88.64101000
93.71647943,-93.18827000
93.75743943,-97.73553000
93.79839943,-97.73553000
93.83935943,-102.29800000
93.88031943,-102.29800000
93.92127943,-106.84530000
93.96223943,-111.40780000
94.00319943,-111.40780000
94.04415943,-115.95510000
94.08511943,-115.95510000
94.12607943,-120.50230000
94.16703943,-120.50230000
94.20799943,-125.06480000
94.24895943,-125.06480000
94.28991943,-129.61210000
94.33087943,-129.61210000
94.37183943,-129.61210000
94.41279943,-134.15940000
94.45375943,-134.15940000
94.49471943,-138.72190000
94.53567943,-138.72190000
94.57663943,-138.72190000
94.61759942,-143.26910000
94.65855942,-147.81640000
94.69951942,-147.81640000
94.74047942,-147.81640000
94.78143942,-147.81640000
94.82239942,-152.37890000
94.86335942,-156.92620000
94.90431942,-156.92620000
94.94527942,-156.92620000
94.98623942,-161.48870000
95.02719942,-161.48870000
95.06815942,-166.03590000
95.10911942,-166.03590000
95.15007942,-166.03590000
95.19103942,-166.03590000
95.23199942,-170.58320000
95.27295942,-175.14570000
95.31391942,-175.14570000
95.35487942,-179.69300000
95.39583942,-179.69300000
95.43679942,-179.69300000
95.47775942,-179.69300000
95.51871942,-184.24020000
95.55967942,-184.24020000
95.60063942,-184.24020000
95.64159942,-188.80270000
95.68255942,-193.35000000
95.72351942,-188.80270000
95.76447942,-193.35000000
95.80543942,-193.35000000
95.84639942,-197.89730000
95.88735942,-193.35000000
95.92831942,-193.35000000
95.96927942,-197.89730000
96.01023942,-197.89730000
96.05119942,-202.45980000
96.09215942,-197.89730000
96.13311942,-202.45980000
96.17407942,-202.45980000
96.21503942,-202.45980000
96.25599942,-202.45980000
96.29695941,-202.45980000
96.33791941,-202.45980000
96.37887941,-207.00700000
96.41983941,-207.00700000
96.46079941,-207.00700000
96.50175941,-211.55430000
